"info","all","initial","followup","samples_tested","model_type"
"Accuracy","0.524390243902439","0.0487804878048781","1","all_adn","red_adn"
"Kappa","0.0487804878048781","0","NaN","all_adn","red_adn"
"AccuracyLower","0.411083419027708","0.00596311824104283","0.913956163705972","all_adn","red_adn"
"AccuracyUpper","0.63588379349156","0.16533335341783","1","all_adn","red_adn"
"AccuracyNull","0.5","1","1","all_adn","red_adn"
"AccuracyPValue","0.370326420672892","1","1","all_adn","red_adn"
"McnemarPValue","1.16585980937805e-09","1.16585980937805e-09","NaN","all_adn","red_adn"
"Sensitivity","0.0487804878048781","0.0487804878048781",NA,"all_adn","red_adn"
"Specificity","1",NA,"1","all_adn","red_adn"
"Pos Pred Value","1",NA,NA,"all_adn","red_adn"
"Neg Pred Value","0.5125",NA,NA,"all_adn","red_adn"
"Precision","1","1",NA,"all_adn","red_adn"
"Recall","0.0487804878048781","0.0487804878048781",NA,"all_adn","red_adn"
"F1","0.0930232558139535","0.0930232558139535",NA,"all_adn","red_adn"
"Prevalence","0.5","1","0","all_adn","red_adn"
"Detection Rate","0.024390243902439","0.0487804878048781","0","all_adn","red_adn"
"Detection Prevalence","0.024390243902439","0.0487804878048781","0","all_adn","red_adn"
"Balanced Accuracy","0.524390243902439",NA,NA,"all_adn","red_adn"
"Accuracy","0.526315789473684","0.0526315789473684","1","SRN","red_adn"
"Kappa","0.0526315789473684","0","NaN","SRN","red_adn"
"AccuracyLower","0.358183436260504","0.00133162880417942","0.823533088193035","SRN","red_adn"
"AccuracyUpper","0.690192698391792","0.260280654195214","1","SRN","red_adn"
"AccuracyNull","0.5","1","1","SRN","red_adn"
"AccuracyPValue","0.435707339682267","1","1","SRN","red_adn"
"McnemarPValue","6.1510890352728e-05","6.1510890352728e-05","NaN","SRN","red_adn"
"Sensitivity","0.0526315789473684","0.0526315789473684",NA,"SRN","red_adn"
"Specificity","1",NA,"1","SRN","red_adn"
"Pos Pred Value","1",NA,NA,"SRN","red_adn"
"Neg Pred Value","0.513513513513513",NA,NA,"SRN","red_adn"
"Precision","1","1",NA,"SRN","red_adn"
"Recall","0.0526315789473684","0.0526315789473684",NA,"SRN","red_adn"
"F1","0.1","0.1",NA,"SRN","red_adn"
"Prevalence","0.5","1","0","SRN","red_adn"
"Detection Rate","0.0263157894736842","0.0526315789473684","0","SRN","red_adn"
"Detection Prevalence","0.0263157894736842","0.0526315789473684","0","SRN","red_adn"
"Balanced Accuracy","0.526315789473684",NA,NA,"SRN","red_adn"
"Accuracy","0.634615384615385","0.346153846153846","0.923076923076923","crc","red_crc"
"Kappa","0.286127167630058","0","-0.0399999999999987","crc","red_crc"
"AccuracyLower","0.489558956311425","0.172144138005666","0.748697083304626","crc","red_crc"
"AccuracyUpper","0.763756388957288","0.55667192604239","0.990544608996287","crc","red_crc"
"AccuracyNull","0.519230769230769","1","0.961538461538462","crc","red_crc"
"AccuracyPValue","0.0627293594742125","1","0.92336443631745","crc","red_crc"
"McnemarPValue","0.00024193279086066","0.000104211945158089","1","crc","red_crc"
"Sensitivity","0.333333333333333","0.346153846153846","0","crc","red_crc"
"Specificity","0.96",NA,"0.96","crc","red_crc"
"Pos Pred Value","0.9",NA,"0","crc","red_crc"
"Neg Pred Value","0.571428571428571",NA,"0.96","crc","red_crc"
"Precision","0.9","1","0","crc","red_crc"
"Recall","0.333333333333333","0.346153846153846","0","crc","red_crc"
"F1","0.486486486486486","0.514285714285714","NaN","crc","red_crc"
"Prevalence","0.519230769230769","1","0.0384615384615385","crc","red_crc"
"Detection Rate","0.173076923076923","0.346153846153846","0","crc","red_crc"
"Detection Prevalence","0.192307692307692","0.346153846153846","0.0384615384615385","crc","red_crc"
"Balanced Accuracy","0.646666666666667",NA,"0.48","crc","red_crc"
