"runs","avg_auc","min_auc","max_auc"
1,NA,Inf,-Inf
2,NA,Inf,-Inf
3,NA,Inf,-Inf
4,NA,Inf,-Inf
5,NA,Inf,-Inf
6,NA,Inf,-Inf
7,NA,Inf,-Inf
8,NA,Inf,-Inf
9,NA,Inf,-Inf
10,NA,Inf,-Inf
11,NA,Inf,-Inf
12,NA,Inf,-Inf
13,NA,Inf,-Inf
14,NA,Inf,-Inf
15,NA,Inf,-Inf
16,NA,Inf,-Inf
17,NA,Inf,-Inf
18,NA,Inf,-Inf
19,NA,Inf,-Inf
20,NA,Inf,-Inf
21,NA,Inf,-Inf
22,NA,Inf,-Inf
23,NA,Inf,-Inf
24,NA,Inf,-Inf
25,NA,Inf,-Inf
26,NA,Inf,-Inf
27,NA,Inf,-Inf
28,NA,Inf,-Inf
29,NA,Inf,-Inf
30,NA,Inf,-Inf
31,NA,Inf,-Inf
32,NA,Inf,-Inf
33,NA,Inf,-Inf
34,NA,Inf,-Inf
35,NA,Inf,-Inf
36,NA,Inf,-Inf
37,NA,Inf,-Inf
38,NA,Inf,-Inf
39,NA,Inf,-Inf
40,NA,Inf,-Inf
41,NA,Inf,-Inf
42,NA,Inf,-Inf
43,NA,Inf,-Inf
44,NA,Inf,-Inf
45,NA,Inf,-Inf
46,NA,Inf,-Inf
47,NA,Inf,-Inf
48,NA,Inf,-Inf
49,NA,Inf,-Inf
50,NA,Inf,-Inf
51,NA,Inf,-Inf
52,NA,Inf,-Inf
53,NA,Inf,-Inf
54,NA,Inf,-Inf
55,NA,Inf,-Inf
56,NA,Inf,-Inf
57,NA,Inf,-Inf
58,NA,Inf,-Inf
59,NA,Inf,-Inf
60,NA,Inf,-Inf
61,NA,Inf,-Inf
62,NA,Inf,-Inf
63,NA,Inf,-Inf
64,NA,Inf,-Inf
65,NA,Inf,-Inf
66,NA,Inf,-Inf
67,NA,Inf,-Inf
68,NA,Inf,-Inf
69,NA,Inf,-Inf
70,NA,Inf,-Inf
71,NA,Inf,-Inf
72,NA,Inf,-Inf
73,NA,Inf,-Inf
74,NA,Inf,-Inf
75,NA,Inf,-Inf
76,NA,Inf,-Inf
77,NA,Inf,-Inf
78,NA,Inf,-Inf
79,NA,Inf,-Inf
80,NA,Inf,-Inf
81,NA,Inf,-Inf
82,NA,Inf,-Inf
83,NA,Inf,-Inf
84,NA,Inf,-Inf
85,NA,Inf,-Inf
86,NA,Inf,-Inf
87,NA,Inf,-Inf
88,NA,Inf,-Inf
89,NA,Inf,-Inf
90,NA,Inf,-Inf
91,NA,Inf,-Inf
92,NA,Inf,-Inf
93,NA,Inf,-Inf
94,NA,Inf,-Inf
95,NA,Inf,-Inf
96,NA,Inf,-Inf
97,NA,Inf,-Inf
98,NA,Inf,-Inf
99,NA,Inf,-Inf
100,NA,Inf,-Inf
