"info","all","initial","followup","samples_tested","model_type"
"Accuracy","0.559701492537313","0.91044776119403","0.208955223880597","all","red_lesion"
"Kappa","0.109885160999775","0","0.00726866088901314","all","red_lesion"
"AccuracyLower","0.471398287264346","0.815203833237716","0.119211831404623","all","red_lesion"
"AccuracyUpper","0.645307468482403","0.966423011440363","0.32566334879148","all","red_lesion"
"AccuracyNull","0.507462686567164","1","0.985074626865672","all","red_lesion"
"AccuracyPValue","0.130624573912728","1","1","all","red_lesion"
"McnemarPValue","2.11538042627484e-09","0.0412268333371636","9.14823721432498e-13","all","red_lesion"
"Sensitivity","0.911764705882353","0.91044776119403","1","all","red_lesion"
"Specificity","0.196969696969697",NA,"0.196969696969697","all","red_lesion"
"Pos Pred Value","0.539130434782609",NA,"0.0185185185185185","all","red_lesion"
"Neg Pred Value","0.684210526315789",NA,"1","all","red_lesion"
"Precision","0.539130434782609","1","0.0185185185185185","all","red_lesion"
"Recall","0.911764705882353","0.91044776119403","1","all","red_lesion"
"F1","0.677595628415301","0.953125","0.0363636363636364","all","red_lesion"
"Prevalence","0.507462686567164","1","0.0149253731343284","all","red_lesion"
"Detection Rate","0.462686567164179","0.91044776119403","0.0149253731343284","all","red_lesion"
"Detection Prevalence","0.858208955223881","0.91044776119403","0.805970149253731","all","red_lesion"
"Balanced Accuracy","0.554367201426025",NA,"0.598484848484849","all","red_lesion"
"Accuracy","0.548780487804878","0.902439024390244","0.195121951219512","adn","red_lesion"
"Kappa","0.0975609756097562","0","0","adn","red_lesion"
"AccuracyLower","0.434942396364559","0.768685450690539","0.0882061016628513","adn","red_lesion"
"AccuracyUpper","0.658991199782436","0.972772533201639","0.34866546745138","adn","red_lesion"
"AccuracyNull","0.5","1","1","adn","red_lesion"
"AccuracyPValue","0.219852714592912","1","1","adn","red_lesion"
"McnemarPValue","4.16105012834749e-06","0.133614402537715","2.54031201428843e-08","adn","red_lesion"
"Sensitivity","0.902439024390244","0.902439024390244",NA,"adn","red_lesion"
"Specificity","0.195121951219512",NA,"0.195121951219512","adn","red_lesion"
"Pos Pred Value","0.528571428571429",NA,NA,"adn","red_lesion"
"Neg Pred Value","0.666666666666667",NA,NA,"adn","red_lesion"
"Precision","0.528571428571429","1","0","adn","red_lesion"
"Recall","0.902439024390244","0.902439024390244",NA,"adn","red_lesion"
"F1","0.666666666666667","0.948717948717949",NA,"adn","red_lesion"
