"Pvalue","BH_correction","model_type","comparison"
2.77649604032918e-12,1.11059841613167e-11,"lesion","lesion"
1.81898940354586e-11,3.63797880709171e-11,"lesion","all_adenoma"
5.96046447753907e-08,7.94728597005209e-08,"lesion","carcinoma_only"
7.62939453125e-06,7.62939453125e-06,"lesion","SRN_only"
4.78191736395332e-12,1.91276694558133e-11,"red_lesion","lesion"
5.58429746888578e-10,1.11685949377716e-09,"red_lesion","all_adenoma"
2.98023223876954e-08,3.97364298502605e-08,"red_lesion","carcinoma_only"
0.0001068115234375,0.0001068115234375,"red_lesion","SRN_only"
1.67801880080748e-12,6.71207520322993e-12,"IF","lesion"
3.70563158541266e-08,7.41126317082531e-08,"IF","all_adenoma"
8.78900501283601e-06,1.1718673350448e-05,"IF","carcinoma_only"
0.000213721915225015,0.000213721915225015,"IF","SRN_only"
1.67888853301683e-12,6.71555413206731e-12,"red_IF","lesion"
3.70693904956852e-08,4.9425853994247e-08,"red_IF","all_adenoma"
2.98023223876954e-08,4.9425853994247e-08,"red_IF","carcinoma_only"
0.000213721915225015,0.000213721915225015,"red_IF","SRN_only"
