"info","all","initial","followup","samples_tested","model_type"
"Accuracy","0.606060606060606","0.651515151515151","0.560606060606061","all","lesion"
"Kappa","0.210853069671189","0","0.0362537764350452","all","lesion"
"AccuracyLower","0.517305489036693","0.5242397683271","0.43296119670296","all","lesion"
"AccuracyUpper","0.689946272436509","0.764708030589678","0.68263413623075","all","lesion"
"AccuracyNull","0.507575757575758","1","0.984848484848485","all","lesion"
"AccuracyPValue","0.014514511367612","1","1","all","lesion"
"McnemarPValue","0.488074093165248","4.48978449863863e-06","1.99858150813818e-07","all","lesion"
"Sensitivity","0.656716417910448","0.651515151515151","1","all","lesion"
"Specificity","0.553846153846154",NA,"0.553846153846154","all","lesion"
"Pos Pred Value","0.602739726027397",NA,"0.0333333333333333","all","lesion"
"Neg Pred Value","0.610169491525424",NA,"1","all","lesion"
"Precision","0.602739726027397","1","0.0333333333333333","all","lesion"
"Recall","0.656716417910448","0.651515151515151","1","all","lesion"
"F1","0.628571428571429","0.788990825688073","0.0645161290322581","all","lesion"
"Prevalence","0.507575757575758","1","0.0151515151515152","all","lesion"
"Detection Rate","0.333333333333333","0.651515151515151","0.0151515151515152","all","lesion"
"Detection Prevalence","0.553030303030303","0.651515151515151","0.454545454545455","all","lesion"
"Balanced Accuracy","0.605281285878301",NA,"0.776923076923077","all","lesion"
"Accuracy","0.5125","0.475","0.55","adn","lesion"
"Kappa","0.0249999999999999","0","0","adn","lesion"
"AccuracyLower","0.398104668703185","0.315119706634986","0.384906794534013","adn","lesion"
"AccuracyUpper","0.625942518555561","0.638719864735938","0.70741164996012","adn","lesion"
"AccuracyNull","0.5","1","1","adn","lesion"
"AccuracyPValue","0.455536060613046","1","1","adn","lesion"
"McnemarPValue","0.748774041706547","1.27496749210971e-05","6.1510890352728e-05","adn","lesion"
"Sensitivity","0.475","0.475",NA,"adn","lesion"
"Specificity","0.55",NA,"0.55","adn","lesion"
"Pos Pred Value","0.513513513513513",NA,NA,"adn","lesion"
"Neg Pred Value","0.511627906976744",NA,NA,"adn","lesion"
"Precision","0.513513513513513","1","0","adn","lesion"
"Recall","0.475","0.475",NA,"adn","lesion"
"F1","0.493506493506494","0.644067796610169",NA,"adn","lesion"
"Prevalence","0.5","1","0","adn","lesion"
"Detection Rate","0.2375","0.475","0","adn","lesion"
"Detection Prevalence","0.4625","0.475","0.45","adn","lesion"
"Balanced Accuracy","0.5125",NA,NA,"adn","lesion"
"Accuracy","0.75","0.923076923076923","0.576923076923077","crc","lesion"
"Kappa","0.492492492492492","0","0.089171974522293","crc","lesion"
"AccuracyLower","0.610536110068839","0.748697083304626","0.369180380923967","crc","lesion"
"AccuracyUpper","0.859651396411809","0.990544608996287","0.766478016872557","crc","lesion"
"AccuracyNull","0.519230769230769","1","0.961538461538462","crc","lesion"
"AccuracyPValue","0.000554724667698818","1","0.999999999938944","crc","lesion"
"McnemarPValue","0.0265002806024918","0.479500122186953","0.00256883152702272","crc","lesion"
"Sensitivity","0.925925925925926","0.923076923076923","1","crc","lesion"
"Specificity","0.56",NA,"0.56","crc","lesion"
"Pos Pred Value","0.694444444444445",NA,"0.0833333333333334","crc","lesion"
"Neg Pred Value","0.875",NA,"1","crc","lesion"
"Precision","0.694444444444444","1","0.0833333333333333","crc","lesion"
"Recall","0.925925925925926","0.923076923076923","1","crc","lesion"
"F1","0.793650793650794","0.96","0.153846153846154","crc","lesion"
"Prevalence","0.519230769230769","1","0.0384615384615385","crc","lesion"
"Detection Rate","0.480769230769231","0.923076923076923","0.0384615384615385","crc","lesion"
"Detection Prevalence","0.692307692307692","0.923076923076923","0.461538461538462","crc","lesion"
"Balanced Accuracy","0.742962962962963",NA,"0.78","crc","lesion"
"Accuracy","0.636363636363636","0.681818181818182","0.590909090909091","all","red_lesion"
"Kappa","0.271556679696482","0","0.0409041980624327","all","red_lesion"
"AccuracyLower","0.548178022627324","0.555607829230528","0.462936563558588","all","red_lesion"
"AccuracyUpper","0.718283295039816","0.791101632758558","0.71045089760399","all","red_lesion"
"AccuracyNull","0.507575757575758","1","0.984848484848485","all","red_lesion"
"AccuracyPValue","0.0019300500554622","1","1","all","red_lesion"
"McnemarPValue","0.47048642205879","1.27496749210971e-05","5.62395775667923e-07","all","red_lesion"
"Sensitivity","0.686567164179104","0.681818181818182","1","all","red_lesion"
"Specificity","0.584615384615385",NA,"0.584615384615385","all","red_lesion"
"Pos Pred Value","0.63013698630137",NA,"0.0357142857142857","all","red_lesion"
"Neg Pred Value","0.644067796610169",NA,"1","all","red_lesion"
"Precision","0.63013698630137","1","0.0357142857142857","all","red_lesion"
"Recall","0.686567164179104","0.681818181818182","1","all","red_lesion"
"F1","0.657142857142857","0.810810810810811","0.0689655172413793","all","red_lesion"
"Prevalence","0.507575757575758","1","0.0151515151515152","all","red_lesion"
"Detection Rate","0.348484848484849","0.681818181818182","0.0151515151515152","all","red_lesion"
"Detection Prevalence","0.553030303030303","0.681818181818182","0.424242424242424","all","red_lesion"
"Balanced Accuracy","0.635591274397244",NA,"0.792307692307692","all","red_lesion"
"Accuracy","0.5125","0.5","0.525","adn","red_lesion"
"Kappa","0.0249999999999999","0","0","adn","red_lesion"
"AccuracyLower","0.398104668703185","0.338017813737235","0.361280135264062","adn","red_lesion"
"AccuracyUpper","0.625942518555561","0.661982186262766","0.684880293365014","adn","red_lesion"
"AccuracyNull","0.5","1","1","adn","red_lesion"
"AccuracyPValue","0.455536060613046","1","1","adn","red_lesion"
"McnemarPValue","1","2.15178643781202e-05","3.63579552029954e-05","adn","red_lesion"
"Sensitivity","0.5","0.5",NA,"adn","red_lesion"
"Specificity","0.525",NA,"0.525","adn","red_lesion"
"Pos Pred Value","0.512820512820513",NA,NA,"adn","red_lesion"
"Neg Pred Value","0.51219512195122",NA,NA,"adn","red_lesion"
"Precision","0.512820512820513","1","0","adn","red_lesion"
"Recall","0.5","0.5",NA,"adn","red_lesion"
"F1","0.506329113924051","0.666666666666667",NA,"adn","red_lesion"
"Prevalence","0.5","1","0","adn","red_lesion"
"Detection Rate","0.25","0.5","0","adn","red_lesion"
"Detection Prevalence","0.4875","0.5","0.475","adn","red_lesion"
"Balanced Accuracy","0.5125",NA,NA,"adn","red_lesion"
